wavelength,illuminantC,xBar,yBar,zBar
360,12.9,0.0001299,3.917e-06,0.0006061
361,13.76,0.000145847,4.393581e-06,0.0006808792
362,14.62,0.0001638021,4.929604e-06,0.0007651456
363,15.48,0.0001840037,5.532136e-06,0.0008600124
364,16.34,0.0002066902,6.208245e-06,0.0009665928
365,17.2,0.0002321,6.965e-06,0.001086
366,18.04,0.000260728,7.813219e-06,0.001220586
367,18.88,0.000293075,8.767336e-06,0.001372729
368,19.72,0.000329388,9.839844e-06,0.001543579
369,20.56,0.000369914,1.104323e-05,0.001734286
370,21.4,0.0004149,1.239e-05,0.001946
371,22.62,0.0004641587,1.388641e-05,0.002177777
372,23.84,0.000518986,1.555728e-05,0.002435809
373,25.06,0.000581854,1.744296e-05,0.002731953
374,26.28,0.0006552347,1.958375e-05,0.003078064
375,27.5,0.0007416,2.202e-05,0.003486
376,28.6,0.0008450296,2.483965e-05,0.003975227
377,29.7,0.0009645268,2.804126e-05,0.00454088
378,30.8,0.001094949,3.153104e-05,0.00515832
379,31.9,0.001231154,3.521521e-05,0.005802907
380,33,0.001368,3.9e-05,0.006450001
381,34.384,0.00150205,4.28264e-05,0.007083216
382,35.768,0.001642328,4.69146e-05,0.007745488
383,37.152,0.001802382,5.15896e-05,0.008501152
384,38.536,0.001995757,5.71764e-05,0.009414544
385,39.92,0.002236,6.4e-05,0.01054999
386,41.416,0.002535385,7.234421e-05,0.0119658
387,42.912,0.002892603,8.221224e-05,0.01365587
388,44.408,0.003300829,9.350816e-05,0.01558805
389,45.904,0.003753236,0.0001061361,0.01773015
390,47.4,0.004243,0.00012,0.02005001
391,48.954,0.004762389,0.000134984,0.02251136
392,50.508,0.005330048,0.000151492,0.02520288
393,52.062,0.005978712,0.000170208,0.02827972
394,53.616,0.006741117,0.000191816,0.03189704
395,55.17,0.00765,0.000217,0.03621
396,56.796,0.008751373,0.0002469067,0.04143771
397,58.422,0.01002888,0.00028124,0.04750372
398,60.048,0.0114217,0.00031852,0.05411988
399,61.674,0.01286901,0.0003572667,0.06099803
400,63.3,0.01431,0.000396,0.06785001
401,65.002,0.01570443,0.0004337147,0.07448632
402,66.704,0.01714744,0.000473024,0.08136156
403,68.406,0.01878122,0.000517876,0.08915364
404,70.108,0.02074801,0.0005722187,0.09854048
405,71.81,0.02319,0.00064,0.1102
406,73.568,0.02620736,0.00072456,0.1246133
407,75.326,0.02978248,0.0008255,0.1417017
408,77.084,0.03388092,0.00094116,0.1613035
409,78.842,0.03846824,0.00106988,0.1832568
410,80.6,0.04351,0.00121,0.2074
411,82.386,0.0489956,0.001362091,0.2336921
412,84.172,0.0550226,0.001530752,0.2626114
413,85.958,0.0617188,0.001720368,0.2947746
414,87.744,0.069212,0.001935323,0.3307985
415,89.53,0.07763,0.00218,0.3713
416,91.244,0.08695811,0.0024548,0.4162091
417,92.958,0.09717672,0.002764,0.4654642
418,94.672,0.1084063,0.0031178,0.5196948
419,96.386,0.1207672,0.0035264,0.5795303
420,98.1,0.13438,0.004,0.6456
421,99.64,0.1493582,0.00454624,0.7184838
422,101.18,0.1653957,0.00515932,0.7967133
423,102.72,0.1819831,0.00582928,0.8778459
424,104.26,0.198611,0.00654616,0.959439
425,105.8,0.21477,0.0073,1.0390501
426,107.12,0.2301868,0.008086507,1.1153673
427,108.44,0.2448797,0.00890872,1.1884971
428,109.76,0.2587773,0.00976768,1.2581233
429,111.08,0.2718079,0.01066443,1.3239296
430,112.4,0.2839,0.0116,1.3856
431,113.47,0.2949438,0.01257317,1.4426352
432,114.54,0.3048965,0.01358272,1.4948035
433,115.61,0.3137873,0.01462968,1.5421903
434,116.68,0.3216454,0.01571509,1.5848807
435,117.75,0.3285,0.01684,1.62296
436,118.5,0.3343513,0.01800736,1.6564048
437,119.25,0.3392101,0.01921448,1.6852959
438,120,0.3431213,0.02045392,1.7098745
439,120.75,0.3461296,0.02171824,1.7303821
440,121.5,0.34828,0.023,1.74706
441,121.89,0.3495999,0.02429461,1.7600446
442,122.28,0.3501474,0.02561024,1.7696233
443,122.67,0.350013,0.02695857,1.7762637
444,123.06,0.349287,0.02835125,1.7804334
445,123.45,0.34806,0.0298,1.7826
446,123.56,0.3463733,0.03131083,1.7829682
447,123.67,0.3442624,0.03288368,1.7816998
448,123.78,0.3418088,0.03452112,1.7791982
449,123.89,0.3390941,0.03622571,1.7758671
450,124,0.3362,0.038,1.77211
451,123.92,0.3331977,0.03984667,1.7682589
452,123.84,0.3300411,0.041768,1.764039
453,123.76,0.3266357,0.043766,1.7589438
454,123.68,0.3228868,0.04584267,1.7524663
455,123.6,0.3187,0.048,1.7441
456,123.5,0.3140251,0.05024368,1.7335595
457,123.4,0.308884,0.05257304,1.7208581
458,123.3,0.3032904,0.05498056,1.7059369
459,123.2,0.2972579,0.05745872,1.6887372
460,123.1,0.2908,0.06,1.6692
461,123.14,0.2839701,0.06260197,1.6475287
462,123.18,0.2767214,0.06527752,1.6234127
463,123.22,0.2689178,0.06804208,1.5960223
464,123.26,0.2604227,0.07091109,1.564528
465,123.3,0.2511,0.0739,1.5281
466,123.4,0.2408475,0.077016,1.4861114
467,123.5,0.2298512,0.0802664,1.4395215
468,123.6,0.2184072,0.0836668,1.3898799
469,123.7,0.2068115,0.0872328,1.3387362
470,123.8,0.19536,0.09098,1.28764
471,123.858,0.1842136,0.09491755,1.2374223
472,123.916,0.1733273,0.09904584,1.1878243
473,123.974,0.1626881,0.1033674,1.1387611
474,124.032,0.1522833,0.1078846,1.090148
475,124.09,0.1421,0.1126,1.0419
476,124.052,0.1321786,0.117532,0.9941976
477,124.014,0.1225696,0.1226744,0.9473473
478,123.976,0.1132752,0.1279928,0.9014531
479,123.938,0.1042979,0.1334528,0.8566193
480,123.9,0.09564,0.13902,0.8129501
481,123.704,0.08729955,0.1446764,0.7705173
482,123.508,0.07930804,0.1504693,0.7294448
483,123.312,0.07171776,0.1564619,0.6899136
484,123.116,0.06458099,0.1627177,0.6521049
485,122.92,0.05795001,0.1693,0.6162
486,122.476,0.05186211,0.1762431,0.5823286
487,122.032,0.04628152,0.1835581,0.5504162
488,121.588,0.04115088,0.1912735,0.5203376
489,121.144,0.03641283,0.199418,0.4919673
490,120.7,0.03201,0.20802,0.46518
491,119.94,0.0279172,0.2171199,0.4399246
492,119.18,0.0241444,0.2267345,0.4161836
493,118.42,0.020687,0.2368571,0.3938822
494,117.66,0.0175404,0.2474812,0.3729459
495,116.9,0.0147,0.2586,0.3533
496,115.94,0.01216179,0.2701849,0.3348578
497,114.98,0.00991996,0.2822939,0.3175521
498,114.02,0.00796724,0.2950505,0.3013375
499,113.06,0.006296346,0.308578,0.2861686
500,112.1,0.0049,0.323,0.272
501,111.076,0.003777173,0.3384021,0.2588171
502,110.052,0.00294532,0.3546858,0.2464838
503,109.028,0.00242488,0.3716986,0.2347718
504,108.004,0.002236293,0.3892875,0.2234533
505,106.98,0.0024,0.4073,0.2123
506,106.044,0.00292552,0.4256299,0.2011692
507,105.108,0.00383656,0.4443096,0.1901196
508,104.172,0.00517484,0.4633944,0.1792254
509,103.236,0.00698208,0.4829395,0.1685608
510,102.3,0.0093,0.503,0.1582
